id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
27-230_20043,"500ml Disinfectant Spray Zepto Brand","500ml Disinfectant Spray Zepto Brand",https://fixit.com.bd/wp-content/uploads/2020/06/Spray-Disinfectant.jpg,https://fixit.com.bd/product/500ml-disinfectant-spray-zepto-brand/,"Basic Chemicals, Cleaning","fixit.com.bd",160BDT,in stock,27-230_20043,https://fixit.com.bd/cart/?add-to-cart=20043,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,160BDT,new,published,,
18-065-1-1_20039,"2 ft. Metal Shovel with Wooden Handle For Gardening (D Shape)","D Handle Shovel: 
 
Metal Shovel with Wooden Handle, 2 ft. Straight garden spade shovel. 
 
  
 
Size:2 ft. 
 
  
 
Metal Shovel for Digging: 
 
Rust-resistant design for rock digging. 
 
  
 
Handle: 
 
The D-handle flat head shovel provides comfort and good grip. 
 
Mini d handle shovel is the ideal size for gardening with short handle.",https://fixit.com.bd/wp-content/uploads/2020/06/Steel-Shovel-with-Wooden-Handle-for-Farming-Tools.jpg,https://fixit.com.bd/product/2-ft-metal-shovel-with-wooden-handle-for-gardening-d-shape/,"Garden Tools, Lawn and Garden, Shovels","fixit.com.bd",500BDT,in stock,18-065-1-1_20039,https://fixit.com.bd/cart/?add-to-cart=20039,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,500BDT,new,published,,
18-065-1_20037,"2 ft. Metal Shovel with Wooden Handle For Gardening (Square Shape)","D Handle Shovel: 
 
Metal Shovel with Wooden Handle 2 ft. Straight garden spade shovel. 
 
  
 
 Metal Shovels for Digging: 
 
Rust-resistant design for metal shovel rock digging. 
 
  
 
 Metal Spade Shovel: 
 
The D-handle flat head shovel provides comfort and good grip. 
 
  
 
 Steel Spade Shovel: 
 
Mini d handle shovel is the ideal size for gardening with short handle.",https://fixit.com.bd/wp-content/uploads/2020/06/steel-shovel-500x500-1.jpg,https://fixit.com.bd/product/2-ft-metal-shovel/,"Garden Tools, Lawn and Garden, Shovels","fixit.com.bd",500BDT,in stock,18-065-1_20037,https://fixit.com.bd/cart/?add-to-cart=20037,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,500BDT,new,published,,
1-111111_20005,"Non-Contact Infrared Thermometer-FT80","Features: 
 
  One-click usage. 
  LCD Screen. 
  Beeping Warning. 
  Long Standby time. 
  Highly  Sensitive  Infrared Controller.",https://fixit.com.bd/wp-content/uploads/2020/06/product_image_e4d39244-726c-4826-a34a-9a517d6d5e95.jpg,https://fixit.com.bd/product/non-contact-infrared-thermometer-ft80/,"Safety and Security, Safety Gear and Equipment, Tools and Hardware","fixit.com.bd",4700BDT,in stock,1-111111_20005,https://fixit.com.bd/cart/?add-to-cart=20005,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4700BDT,new,published,,
20-1413_19999,"250V 50/60Hz White Color  Indicators Fan Regulator","250V 50/60Hz White Color  Indicators Fan Regulator",https://fixit.com.bd/wp-content/uploads/2020/06/Fan-Regulator.png,https://fixit.com.bd/product/250v-50-60hz-white-color-indicators-fan-regulator/,"Electrical, Fan Regulators, Fan Regulators and Dimmers, Tools and Hardware","fixit.com.bd",305BDT,in stock,20-1413_19999,https://fixit.com.bd/cart/?add-to-cart=19999,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,305BDT,new,published,,
05-047_19994,"1 - 6 size adjustable spring tension Silver Color Door Closer Set HMBR Brand","1 - 6 size adjustable spring tension Silver Color Door Closer Set HMBR Brand",https://fixit.com.bd/wp-content/uploads/2020/06/312-0434-Door-Closer-Square-062-12.png,https://fixit.com.bd/product/1-6-size-adjustable-spring-tension-antique-copper-color-door-closer-set-hmbr-brand/,"Door Closers, Door Knobs and Hardware, Tools and Hardware","fixit.com.bd",1100BDT,in stock,05-047_19994,https://fixit.com.bd/cart/?add-to-cart=19994,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1100BDT,new,published,,
16-803_19927,"Stainless Steel Single Swivel Pulley","Stainless Steel Single Swivel Pulley",https://fixit.com.bd/wp-content/uploads/2020/06/493R66_AS01-2.jpg,https://fixit.com.bd/product/stainless-steel-single-swivel-pulley/,"Safety and Security, Tools and Hardware","fixit.com.bd",365BDT,in stock,16-803_19927,https://fixit.com.bd/cart/?add-to-cart=19927,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,365BDT,new,published,,
18-9999_19915,"7 Liter Plastic Home and Garden Manual Pressure Sprayer","Features: 
1. This is an air pressure type garden sprayer with a shoulder strap for agricultural gardening use. 
 
2. 7L capacity for selection, this garden sprayer is easy to use and ideal for misting and soaking. 
 
3. There is a lock switch on the spray head. Pushing down and forward switch can make lock. 
 
4. Thick body bottle and base makes it a durable and stable product so that you can rest assure to buy. 
 
6. It is comfortable to grip and very easy to inflate.",https://fixit.com.bd/wp-content/uploads/2020/06/images-6.jpg,https://fixit.com.bd/product/7-liter-plastic-home-and-garden-manual-pressure-sprayer/,"Lawn and Garden, Spray Bottles, Watering and Irrigation","fixit.com.bd",1900BDT,in stock,18-9999_19915,https://fixit.com.bd/cart/?add-to-cart=19915,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1900BDT,new,published,,
18-0000_19908,"8 Liter Plastic Home and Garden Manual Pressure Sprayer","Features: 
1. This is an air pressure type garden sprayer with a shoulder strap for agricultural gardening use. 
 
2. 8L capacity for selection, this garden sprayer is easy to use and ideal for misting and soaking. 
 
3. There is a lock switch on the spray head. Pushing down and forward switch can make lock. 
 
4. Thick body bottle and base makes it a durable and stable product so that you can rest assure to buy. 
 
6. It is comfortable to grip and very easy to inflate.",https://fixit.com.bd/wp-content/uploads/2020/06/HTB17XuoHv1TBuNjy0Fjq6yjyXXar.jpg_350x350.jpg,https://fixit.com.bd/product/8l-pressure-sprayer/,"Lawn and Garden, Spray Bottles, Watering and Irrigation","fixit.com.bd",2000BDT,in stock,18-0000_19908,https://fixit.com.bd/cart/?add-to-cart=19908,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2000BDT,new,published,,
23-633-1_19874,"Mini Gas Powered Portable Mosquito Fogger Machine SUPPER 2000 GOLD","Specifications 
 
Portable Mosquito Fogger Machine: 
1.plant protection, insect killing; 
2.butane as fuel; 
3.portable and practical; 
 
 
Chemical Tank 2 L 
Power source Butane (220g gas tin) 
Smoke agent 0# diesel oil (for reference) 
Mist diameter ≤30μm 
Total weight 1.8Kg 
Dimension 470x180x360mm 
 
warranty :1 Year Service",https://fixit.com.bd/wp-content/uploads/2020/06/mini-fogging-machines-500x500-1.jpg,https://fixit.com.bd/product/mini-gas-powered-portable-mosquito-fogger-machine-supper-2000-gold/,"Animal and Rodent Control, Insect and Pest Control, Lawn and Garden","fixit.com.bd",20000BDT,in stock,23-633-1_19874,https://fixit.com.bd/cart/?add-to-cart=19874,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20000BDT,new,published,,
