ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Attribute Name (pa_quality)","Attribute Value (pa_quality)","Attribute In Variations (pa_quality)","Attribute Is Visible (pa_quality)","Attribute Is Taxonomy (pa_quality)","Attribute Name (pa_size)","Attribute Value (pa_size)","Attribute In Variations (pa_size)","Attribute Is Visible (pa_size)","Attribute Is Taxonomy (pa_size)","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Brands,"Product Type",Tags,"Product categories","Product tags","Product Visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating"
9164,"3 Pcs Mini Garden Tool Set Gardening Shovels + Claw + Rake With Wooden Handles Metal","3 Pcs set Mini Garden Hand Tool Kit Plant Gardening Shovel

Spade/Rake/Trowel with Wooden Handle and Metal(Iron) Head Gardening  Tools.

3 Pcs Mini Garden Tools Set is one of the most important things for doing household gardening work.

&nbsp;

<strong>Quantity:3 Pcs </strong>

&nbsp;

<strong>Application:</strong>

Iron body with comfortable wooden handles.

Whether you  digging, planting, or weeding you can count on the ergonomic design.

&nbsp;",,2019-12-31,product,https://fixit.com.bd/product/3-pcs-mini-garden-tool-set-gardening-shovels-claw-rake-with-wooden-handles-metal/,0,18-297,190,200,190,instock,,,259,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/18-297.jpg,"3 Pcs Mini Garden Tool Set Gardening Shovels + Claw + Rake With Wooden Handles Metal",,18-297,18-297,https://fixit.com.bd/wp-content/uploads/2019/12/18-297.jpg,,China,simple,,"Lawn and Garden>Garden Tools>Gardening Tools",,,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,3-pcs-mini-garden-tool-set-gardening-shovels-claw-rake-with-wooden-handles-metal,,default,0,0,closed,closed,2020-04-30,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.8.1,,0,0,0
9165,"9 Inch X 11 Inch 320 Grit Sandpaper Karigor Brand",,,2019-12-31,product,https://fixit.com.bd/product/9-inch-x-11-inch-320-grit-sandpaper-karigor-brand/,0,11-143,24,24,,instock,,,31,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/11-048-web-600x600-2.jpg,11-048-web-600x600,,11-048-web-600x600-2,11-048-web-600x600-2,https://fixit.com.bd/wp-content/uploads/2019/12/11-048-web-600x600-2.jpg,,,simple,,"Paint>Paint Supplies>Sandpaper Patching and Repairs",,,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,9-inch-x-11-inch-320-grit-sandpaper-karigor-brand,,default,0,0,closed,closed,2020-01-04,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.8.1,,0,0,0
9166,"7 mm Glue Stick Hmbr Brand","Glues sticks can be used for:
<ul class="""">
 	<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i1.313c7324OmRqYy"">Circuit boards adjoining.</li>
 	<li class="""">Artificial flower adjoining.</li>
 	<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.313c7324OmRqYy"">Very useful for craft making</li>
 	<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i3.313c7324OmRqYy"">Suitable for furniture making</li>
 	<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i2.313c7324OmRqYy"">Sticky material to adjoin wooden or plastic items</li>
</ul>
&nbsp;

<strong>Size: 7 mm </strong>

&nbsp;

<strong>Application:</strong>

Toys, artificial flowers, Christmas trees, decorations, jewelries, wooden objects, etc.

&nbsp;

<strong>How to User:</strong>

Insert the glue stick into glue gun tube through the gun tail.

Put on power supply and switch on it's button to preheat the gun for 5-8 minutes.

Once heated, pull the trigger and apply the hot glue wherever required.",,2019-12-31,product,https://fixit.com.bd/product/7-mm-glue-stick-hmbr-brand/,0,01-664,8,8,,instock,,,63,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/7mm-Hot-Glue.jpg,"7 mm Glue Stick Hmbr Brand",,7mm-Hot-Glue,7mm-Hot-Glue,https://fixit.com.bd/wp-content/uploads/2019/12/7mm-Hot-Glue.jpg,,HMBR,simple,,"Paint>Duct Tape Glues and Epoxy",,,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,7-mm-glue-stick-hmbr-brand,,default,0,0,closed,closed,2020-01-27,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.9.0,,0,0,0
9167,"50gm General Purpose Epoxy Compound M-Seal Brand 90 Minutes Setting Perfect for Tank Leakage","<strong>Multi-purpose sealant:</strong>

Sealing, joining, fixing and building.

&nbsp;

<strong>Application :</strong>
<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">M-Seal is a great for the plumbing, construction and auto repair industries.</span></li>
 	<li><span class=""a-list-item"">M-Seal is used by plumbers, plumbing contractors, auto mechanics</span></li>
 	<li><span class=""a-list-item"">Fill gaps, cracks and plug leaks in pipes and joints.</span></li>
 	<li><span class=""a-list-item"">Filling blow holes and Rebuilding damaged components.</span></li>
</ul>
&nbsp;

<strong>Size: 50gm </strong>",,2019-12-31,product,https://fixit.com.bd/product/50gm-general-purpose-epoxy-compound-m-seal-brand-90-minutes-setting-perfect-for-tank-leakage/,0,21-162,47,47,,instock,,,33,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/21-162A-600x600-1.jpg,"25gm General Purpose Epoxy Compound M-Seal Brand 90 Minutes Setting Perfect for Tank Leakage",,21-162A-600x600-1,21-162A-600x600-1,https://fixit.com.bd/wp-content/uploads/2019/12/21-162A-600x600-1.jpg,,M-Seal,simple,,"Plumbing>Plumbing Accessories>Pipe Putty and Sealants",,,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,50gm-general-purpose-epoxy-compound-m-seal-brand-90-minutes-setting-perfect-for-tank-leakage,,default,0,0,closed,closed,2020-01-27,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.9.0,,0,0,0
9168,"Isopropyl alcohol (Rubbing Alcohol) 70% - 500ml (Heavy Duty Disinfectant) (Kills Viruses)","Isopropyl alcohol (Rubbing Alcohol)

This product is for external use only.

Isopropyl Rubbing Alcohol 70% is  a common ingredient in chemicals such as antiseptics,

Disinfectants and detergents.

Rubbing Alcohol is an effective infection fighter.

A must-have medicine cabinet essential at a great price.

&nbsp;

<strong>Active Ingredient:</strong> Isopropyl Alcohol (70%)

<strong>Inactive ingredient:</strong> Water

&nbsp;

<strong>APPLICATION: </strong>

70% alcohol can also be used as an antiseptic for disinfection of minor wounds.

This disinfectant is widely used to clean and disinfect pharmaceutics, hospitals, cleanrooms,

electronics or medical devices.

For more detailed information about the uses of Rubbing alcohol please check.

<a href=""https://www.healthline.com/health/rubbing-alcohol-uses"">Great &amp; Helpful uses for Rubbing Alcohol</a>

also visit www.zeptoclean.com for a lot more disinfecting products.

<strong>Unfortunately because of the current global epidemic there is a huge scarcity of this product in the market. And because of this reason we have to increase the price of this product in order for us to make a sustainable profit and to be able to supply these products to you in the future.</strong>
<div dir=""auto""></div>
<div dir=""auto""><strong>Thank you for understanding, hope you have a good shopping experience with us. </strong></div>",,2020-06-28,product,https://fixit.com.bd/?post_type=product&p=9168,0,24-016,525,525,,outofstock,,,2053,Color,,no,no,no,Quality,,no,no,no,Size,"1000 ml|500 ml",yes,yes,yes,,https://fixit.com.bd/wp-content/uploads/2019/12/rubbing-alcohol500.jpg|https://fixit.com.bd/wp-content/uploads/2020/01/24-015.jpg|https://fixit.com.bd/wp-content/uploads/2020/01/24-016.jpg|https://fixit.com.bd/wp-content/uploads/2020/01/rubbing-alcohol.jpg,rubbing-alcohol500|24-015|24-016|rubbing-alcohol,|||,|||,|||,https://fixit.com.bd/wp-content/uploads/2019/12/rubbing-alcohol500.jpg,https://fixit.com.bd/wp-content/uploads/2020/03/Rubbing-Alcohol.pdf,"Zepto Basic",simple,outofstock,"Cleaning>Household Cleaners>Antiseptic Cleaners|Basic Chemicals|Cleaning>Personal Care>Hand Soaps and Sanitizers",,outofstock,draft,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,isopropyl-alcohol-rubbing-alcohol-topical-antiseptic,,default,0,0,closed,closed,2020-08-06,no,no,,no,,,,,,,no,no,26-4364|27-198|26-4305||26-4343,,,,'-1,'-1,,,no,none,,,"a:1:{s:7:""pa_size"";s:7:""1000-ml"";}","a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""1"";s:11:""is_taxonomy"";s:1:""1"";}}",4.3.1,,0,0,0
9169,"25 gm Packet Silica Gel great for Keeping with Old Belongings In Cloth Cabinet as Moisture Absorber","Silica Gel Packaging is the Highest Quality in the Industry for Moisture Absorption.

&nbsp;

<strong>Size:25 gm</strong>

&nbsp;

<strong>Application:</strong>
<ul>
 	<li>Provide maximum absorption of humidity</li>
 	<li>And can prevent mold, mildew, rust, fungus, and corrosion.</li>
 	<li>The gel is highly absorbent and capable of drawing water molecules</li>
 	<li>Without any chemical reaction, structural change or side effects.</li>
 	<li>Even when saturated with water, silica gel keeps its dry surface.</li>
</ul>",,2019-12-31,product,https://fixit.com.bd/product/25-gm-packet-silica-gel-great-for-keeping-with-old-belongings-in-cloth-cabinet-always-fresh-moisture-absorber/,0,26-011,25,25,,outofstock,,,65,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/silica-gel2.jpg,"25 gm Packet Silica Gel great for Keeping with Old Belongings  In Cloth Cabinet Always Fresh Moisture Absorber",,silica-gel2,silica-gel2,https://fixit.com.bd/wp-content/uploads/2019/12/silica-gel2.jpg,,China,simple,outofstock,"Cleaning>Personal Care>Moisture Absorbers",,outofstock,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,25-gm-packet-silica-gel-great-for-keeping-with-old-belongings-in-cloth-cabinet-always-fresh-moisture-absorber,,default,0,0,closed,closed,2020-06-23,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,4.2.0,,0,0,0
9170,"Rubber Red Handle Stainless Steel Pruning Shear","<ul class="""">
 	<li class="""">Made of stainless steel resulting in super durability and increased strength.</li>
 	<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i1.6e684fb0eDaLhW"">Ideal for cutting stems and branches of bushes and household plants.</li>
 	<li data-spm-anchor-id=""a2a0e.pdp.product_detail.i1.6e684fb0eDaLhW"">Ideal for cutting flowers/ fruits &amp; vegetables/ weeds and many more.</li>
 	<li class="""">Fully hardened precision-ground steel blade remains sharp for a long time.</li>
 	<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.6e684fb0eDaLhW"">This is the landscapers best friend.</li>
</ul>
&nbsp;
<ul class="""">
 	<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i2.6e684fb0eDaLhW""><strong>Material:</strong> Stainless steel</li>
</ul>",,2019-12-31,product,https://fixit.com.bd/product/rubber-red-handle-stainless-steel-pruning-shear/,0,18-275,172,172,,outofstock,,,3,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/18-307A.jpg,"Rubber Red Handle Stainless Steel Pruning Shear",,18-307A,18-307A,https://fixit.com.bd/wp-content/uploads/2019/12/18-307A.jpg,,China,simple,outofstock,"Lawn and Garden>Garden Tools>Pruning Tools",,outofstock,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,rubber-red-handle-stainless-steel-pruning-shear,,default,0,0,closed,closed,2020-05-14,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.8.1,,0,0,0
9171,"Table Corner Protector for Baby Safety","<strong>Features:-</strong>

L Shaped - double-layer with hollow middle buffer layer for better anti-collision effect.

This product is made of flexible PVC making it  safe and beautiful, so that the baby will be protected at all times from corner cuts &amp; bruises. All the while not hindering the overall shape of the furniture.

This product is suitable for table corner, bed corner, bookcase corners , staircase corner &amp; every furniture in your house that can be a potential threat for your child.

&nbsp;

<strong>Color: White</strong>",,2019-12-31,product,https://fixit.com.bd/product/table-corner-safety-for-baby/,0,26-675,35,35,,instock,,,23,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/DSC_0002.jpg,"Table Corner Safety for Baby",,DSC_0002,DSC_0002,https://fixit.com.bd/wp-content/uploads/2019/12/DSC_0002.jpg,,China,simple,,"Kitchen>Tableware and Bar>Table Corner Safety",,,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,table-corner-safety-for-baby,,default,0,0,closed,closed,2020-02-05,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.9.0,,0,0,0
9172,"Floor Rubber Furniture Protection to Protect Household Floor and Avoid Floor Scratches Jx Brand","<strong>Features:</strong>

Fixit.com.bd’s Floor Rubber Furniture Protection

Fashionable, Flexible and Useful

Non-slip protection for Furniture

Anti-Scratch Pads Prevents Furniture Legs

From Scratching, Scarring, and Damaging Wood Floors and Carpets

&nbsp;

<strong>Quantity: 9 pcs</strong>

&nbsp;",,2019-12-31,product,https://fixit.com.bd/product/floor-rubber-furniture-protection-to-protect-household-floor-and-avoid-floor-scratches-jx-brand/,0,26-1260,95,95,,outofstock,,,2,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/26-1260-2.jpg,"Floor Rubber Furniture Protection to Protect Household Floor and Avoid Floor Scratches Jx Brand",,26-1260-2,26-1260-2,https://fixit.com.bd/wp-content/uploads/2019/12/26-1260-2.jpg,,Jx,simple,outofstock,"Cleaning>Household Cleaners>Furniture Protection",,outofstock,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,floor-rubber-furniture-protection-to-protect-household-floor-and-avoid-floor-scratches-jx-brand,,default,0,0,closed,closed,2020-03-16,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.8.1,,0,0,0
9173,"0.5 Inch (12 Pcs Packet) Iron Star Cap Screw",,,2019-12-31,product,https://fixit.com.bd/product/0-5-inch-12-pcs-packet-iron-star-cap-screw/,0,16-764,10,11,10,instock,,,20,Color,,no,no,no,Quality,,no,no,no,Size,,no,no,no,,https://fixit.com.bd/wp-content/uploads/2019/12/16-764A.jpg,"0.5 Inch (12 Pcs Packet) Iron Star Cap Screw",,16-764A,16-764A,https://fixit.com.bd/wp-content/uploads/2019/12/16-764A.jpg,,,simple,,"Tools and Hardware>Screws Nails and Anchors",,,publish,1,fixit-admin,fixitbdonline@gmail.com,Mr,fixit,0-5-inch-12-pcs-packet-iron-star-cap-screw,,default,0,0,closed,open,2019-12-31,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,,3.8.1,,0,0,0
