Sku,Title,Short Description,Sku,Price,Regular Price,,images,Product categories,sub,sub sub,,
04-176,11mm Stainless Steel Combination Wrench Maxtop Brand,,04-176,70,74,04-176A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-176A.jpg,Tools and Hardware,Hand Tools,Wrenches,,
20-1166,13A Flat 3 Flat Pin White Color Conversion Plug Single Inlet,,20-1166,60,60,20-1166.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-1166.jpg,Electrical,Dimmers Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors
36-230,24mm x 1m Yellow Cover Double Sided Foam Tape For Hanging Things from Wall,,36-230,65,65,36-230A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/36-230A.jpg,Storage and Organization,Office Supplies,Adhesives and Tape,,
04-602,13mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,,04-602,71,75,04-602A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-602A.jpg,Tools and Hardware,Hand Tools,Wrenches,,
09-265,3 Meter Measuring Tape Karigor Brand,,09-265,71,74,09-265.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/09-265.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,
05-1280,6 Inch Stainless Steel Haps Bolt,,05-1280,171,171,05-1280A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1280A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),,
26-1562,8 Inch Multi-Color Fabric Refridgerator Freezer Handle Cover,,26-1562,67,67,26-1562A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-1562A.jpg,Kitchen,Small Appliances,Kitchen Accessories,,
01-384,6 Inch Star Head  Yellow Transparent Handle Screwdriver,,01-384,75,78,01-384A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-384A.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
05-1174,96mm Sand Nickel Color Furniture Handle 6061,,05-1174,76,80,05-1174A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1174A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
12-242,5 Inch Multi-Color Plastic Floor Brush,,12-242,68,68,12-242.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/12-242.jpg,Cleaning,Cleaning Tools and Supplies,Floor Brushes,,
26-2792,16 Pcs Packet Multi-Color Plastic Cloth Clip,,26-2792,76,80,26-2792.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-2792.jpg,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,,
26-2977,CR2016 Flat Battery,,26-2977,76,80,26-2977A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-2977A.jpg,Electrical,Batteries,Household Batteries,,
26-3132,Plastic Handle Foot Callus File Nickel Brand,,26-3132,76,80,26-3132A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3132A.jpg,Cleaning,Personal Care,Hand and Foot Care,,
26-845,500  ml Lemon Scented Dish Washing Liquid with free Scrubber Rock Brand,,26-845,78,83,26-845A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-845A.jpg,Cleaning,Household Cleaners,Dishwasher Detergent and Soap,,
20-1177,AC 250 Volts 6 Ampere E-27 Screw In Angled White Color Bulb Holder,,20-1177,72,72,20-1177A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-1177A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,
05-417,Double Hook Stainless Steel Coat Hook,,05-417,89,89,05-417.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-417.jpg,Storage and Organization,Home Storage Hooks,Hooks,,
26-3143,Yellow Color Plastic Ice Making Box Cube Shaped Ice,,26-3143,81,85,26-3143A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3143A.jpg,Kitchen,Small Appliances,Ice Box,,
19-905,4.5 Inch Wall Mounting Long Body PVC Bibb Cock HMBR Brand,,19-905,75,75,19-905.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/19-905.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Hose Bibbs and SillCocks,,
26-1849,Green Color Flip Flop Solar Powered Dancing Flower,,26-1849,82,86,26-1849A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-1849A.jpg,Lawn and Garden,Generators and Portable Power,,,
26-190,2 Inch (3 in 1) Plastic Picture Hook HMBR Brand (Nail to Wall),,26-190,34,34,26-190.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-190.jpg,Tools and Hardware,Fasteners,Picture and Mirror Hanging,,
26-061,500  ml Liquid Dishwash Lemon Flavour Trix Brand,,26-061,95,95,26-061.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-061.jpg,Cleaning,Household Cleaners,Dishwasher Detergent and Soap,,
05-1416,8mm Antique Copper Color Glass Holder,,05-1416,86,91,05-1416.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1416.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Bath Shelves,,
04-248,12mm Stainless Steel L Socket Wrench HMBR Brand,,04-248,78,78,04-248.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-248.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,
13-252,6mm Metal Twist Drill Bit Wynn's Brand,,13-252,86,90,13-252.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/13-252.jpg,Tools and Hardware,Power Tool Accessories,Drill Bits,,
16-869,3 Inch Stainless Steel Angle Bracket,,16-869,86,90,16-869.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/16-869.jpg,Building Materials,Builders Hardware,Corner Braces,,
26-2890,Disposable Polyethene Kitchen Glove - Cooking/Restuarant,,26-2890,86,90,26-2890.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-2890.jpg,Cleaning,Cleaning Tools and Supplies,Cleaning Gloves,,
26-3112,White Color ft. Stone,,26-3112,86,90,26-3112A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3112A.jpg,Cleaning,Personal Care,Hand and Foot Care,,
26-3337,2 Pcs Set Yellow Blue Snail Design Adhesive Picture Hook (Sticks to Wall),,26-3337,86,90,26-3337.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3337.jpg,Tools and Hardware,Fasteners,Picture and Mirror Hanging,,
26-3459,2 Pcs Dish & Plate Cleaning Sponge,,26-3459,86,90,26-3459.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3459.jpg,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,,
36-380,Stainless Steel Toilet Symbol for Men & Women with Double Sided Adhesive Foam Tape,,36-380,86,90,36-380A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/36-380A.jpg,Doors and Windows,Door Signs,,,
20-885,16 Ampere White Color 3 Inlet 2 Round Pin Transfer Plug,,20-885,105,105,20-885A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-885A.jpg,Electrical,Switches and Outlets,Sockets,,
05-136,10 Inch Heavy-Duty Decorative Single Slot Shelf Bracket,"Common wall-fixed systems comprise parallel metal strips (attached to the wall by screws) which have slots into which brackets can be fitted to hold shelves. Free-standing shelf frames are also usually manufactured from metal (usually steel) though the shelves may be made of wood.

Features:

Lengths: 10"" 
Finishes: anochrome
Material: Gauge steel 
No weight rating available. bracket has three engagement teeth to secure bracket to standard for wider shelves . also comes with stabilizing lock lever to reinforce bracket attachment to standard. 

Application:

It allows more flexible use of shelves to hold items of value for storage display or sale.",05-136,143,143,05-136A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-136A.jpg,Building Materials,Builders Hardware,Corner Braces,,
01-750,6 Inch Flat Head Screw Driver with Multi-color Handle,,01-750,105,105,01-750.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-750.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
04-180,15mm Stainless Steel Combination Wrench Maxtop Brand,,04-180,82,82,04-180A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-180A.jpg,Tools and Hardware,Hand Tools,Wrenches,,
26-3173,Traditional Stainless Steel Egg Beater,,26-3173,90,95,26-3173A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3173A.jpg,Kitchen,Cooking and Food Preparation,Bakeware,,
