Sku,Title,Price,Regular Price,Sale Price,Product categories,sub,sub sub,pic
03-128,16 Inch Hand Saw with Rubber &amp; Plastic Handle Karigor Brand,153,153,,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools,https://fixit.com.bd/wp-content/uploads/2020/01/03-128A-1.jpg
05-1547,150mm Antique Brass Furniture Handle Victorian Cut Design,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1547.jpg
05-1550,4 Inch Aluminum Silver Color Furniture Hollow Cabinet Handle,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1550.jpg
05-1557,Brushed Stainless Steel Hidden Spring Drawer /Sliding Door Handle Auto Closing Door Handle,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1557A.jpg
05-1564,150mm Antique Brass Furniture Handle Victorian Design,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1564.jpg
05-1585,Antique Brass Furniture Knob Victorian Design,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,https://fixit.com.bd/wp-content/uploads/2020/01/05-1585.jpg
05-1613,2.5 Inch Stainless Steel Furniture Hollow Cabinet Handle,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1613.jpg
05-1620,Antique Brass Color Round Metal Furniture Knob  Victorian Design,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,https://fixit.com.bd/wp-content/uploads/2020/01/05-1620.jpg
05-1624,128mm Antique Copper Furniture Handle Victorian Design,171,180,171,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1624.jpg
26-3202,550  ml Adhesive Remover Sticker Cleaner,523,523,,Cleaning,Household Cleaners,All Purpose Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-3202A.jpg
26-172,Snow White Marble Stone Tiles Floor &amp; Furniture Wax Bosny Brand Water Resistant Anti-Slip and Insect Repellent,465,465,,Cleaning,Household Cleaners,Floor Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-172A.jpg
26-1950,300  ml Polo &amp; CK1 Fragrance Air Freshener Durco Brand (Can),465,465,,Cleaning,Air Care,Air Fresheners,https://fixit.com.bd/wp-content/uploads/2020/01/26-1950.jpg
26-2140,300  ml Leather Conditioner Kangaroo Brand - for Car Leather &amp; Leather Furniture,428,428,,Cleaning,Household Cleaners,Furniture and Upholstery Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-2140.jpg
20-887,Yellow and Red Lantern Lamp with Compass on top great for Outdoors and Camping,470,470,,Electrical,Light Bulbs,Outdoor Lamps,https://fixit.com.bd/wp-content/uploads/2020/01/20-887.jpg
25-162,4 Inch X 3 mm Antique Brass Color Solid Brass Door Hinges,808,808,,Tools and Hardware,Cabinet and Furniture Hardware,Hinges,https://fixit.com.bd/wp-content/uploads/2020/01/25-162A.jpg
05-290,Up to 8 Feet Extendable Suction Shower Curtain Rod For Bathroom,476,476,,Bath and Faucets,Bathroom Accessories and Hardware,Shower Curtain Rod,https://fixit.com.bd/wp-content/uploads/2020/01/05-290.jpg
