Sku,Title,Price,Regular Price,Product categories,Sub,Sub Sub,img
16-338,6mm X 15mm 2 Pcs Packet Iron Nut and Bolt,14,14,Tools and Hardware,Screws Nails and Anchors,Nuts,https://fixit.com.bd/wp-content/uploads/2020/02/16-338.jpg
16-360,1/4mm 12pcs Packet Iron Nut,10,10,Tools and Hardware,Screws Nails and Anchors,Nuts,https://fixit.com.bd/wp-content/uploads/2020/02/16-360.jpg
26-2983,1.5 Volts AAA-Size Battery Duracell Brand,12,13,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/02/26-2983.jpg
16-208,3/4 Inch Length 17mm Thickness 100gm Packet Common Nails,13,14,Tools and Hardware,Screws Nails and Anchors,Nails,https://fixit.com.bd/wp-content/uploads/2020/02/16-208.jpg
16-918,2.5 Inch Royal Bolt,15,16,Tools and Hardware,Screws Nails and Anchors,Anchors,https://fixit.com.bd/wp-content/uploads/2020/02/16-918.jpg
13-260,2mm Metal Drill Bit Wynn's Brand,18,19,Tools and Hardware,Power Tool Accessories,Drill Bits,https://fixit.com.bd/wp-content/uploads/2020/02/13-260.jpg
01-728,4 Inch x 1.2 mm Cutting Disk Yang Brand,38,38,Tools and Hardware,Power Tool Accessories,Saw Blades,https://fixit.com.bd/wp-content/uploads/2020/02/01-728.jpg
16-879,J-Type Stainless Steel Hook,20,22,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/02/16-879.jpg
19-1054,10mm Stainless Steel Pipe Bushing HMBR Brand Pipe Size Converter,29,29,Plumbing,Pipes and Fittings,Bushes,https://fixit.com.bd/wp-content/uploads/2020/02/19-1054.jpg
26-3500,Stainless Steel Key Holder 8 Adventure Hook,22,23,Tools and Hardware,Keys and Accessories,,https://fixit.com.bd/wp-content/uploads/2020/02/26-3500.jpg
36-413,A-100 Solid Stainless Steel Anti Cutter Blade (Refill Only),22,23,Tools and Hardware,Hand Tools,Knives and Blades,https://fixit.com.bd/wp-content/uploads/2020/02/36-413.jpg
10-059,1 Inch Brown Color Synthetic bristle Paint Brush Karigor Brand,23,24,Paint,Paint Supplies,Paint Brushes,https://fixit.com.bd/wp-content/uploads/2020/02/10-059.jpg
16-876,Stainless Steel L Shaped Hook,38,38,Storage and Organization,Home Storage Hooks,,https://fixit.com.bd/wp-content/uploads/2020/02/16-876.jpg
16-862,1.25 Inch Stainless Steel Angle Bracket,24,25,Building Materials,Builders Hardware,Corner Braces,https://fixit.com.bd/wp-content/uploads/2020/02/16-862.jpg
26-2978,1.55V AG3/392A Alkaline Battery TIAN QIU Brand,24,25,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/02/26-2978.jpg
26-3229,2 Inch Black and Yellow Color Stainless Steel Fancy Nail Cutter Rimei Brand,25,27,Cleaning,Personal Care,Nail Care,https://fixit.com.bd/wp-content/uploads/2020/02/26-3229.jpg
29-042,2 Inch Clear Adhesive Tape for Carton Boxing (Scotch Type),26,27,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/02/29-042.jpg
