Sku,Title,Price,Regular Price,Sale Price,,Image,Product categories,Sub,Sub Sub
16-244,8mm X 20mm 4 Pcs Packet Nut & Bolt,27,27,27,,https://fixit.com.bd/wp-content/uploads/2020/02/16-244.jpg,Tools and Hardware,Screws Nails and Anchors,Nuts
20-1174,220V Single E27 Screw In Bulb Holder,67,67,,,https://fixit.com.bd/wp-content/uploads/2020/02/20-1174.jpg,Electrical,Light Bulbs,LED Light Bulbs
12-124,8 Inch Stainless Steel Wire Brush Wooden Handle HMBR Brand,52,55,52,,https://fixit.com.bd/wp-content/uploads/2020/02/12-124.jpg,Cleaning,Cleaning Tools and Supplies,Wire Brushes
26-3119,Wooden Hand Brush with Yellow Color Plastic Bristle,53,56,53,,https://fixit.com.bd/wp-content/uploads/2020/02/26-3119B.jpg,Cleaning,Cleaning Tools and Supplies,Floor Brushes
01-206,SK5 â€“ 100 x 18 x 0.5 mm 10 Pcs Refill only 4 Inch Anti Cutter Blade Deli Brand,52,52,,,https://fixit.com.bd/wp-content/uploads/2020/02/01-206.jpg,Tools and Hardware,Hand Tools,Knives and Blades
36-360,Multi Color Gems Clip QIFEI Brand  High Quality,57,60,57,,https://fixit.com.bd/wp-content/uploads/2020/02/36-360.jpg,Storage and Organization,Office Supplies,Office Fasteners
36-469,Black Color Marker White BoardMarker Trima330,52,52,,,https://fixit.com.bd/wp-content/uploads/2020/02/36-469.jpg,Storage and Organization,Office Supplies,Pens Pencils and Markers
20-057,Single Cover Box For Socket MK Brand,55,55,,,https://fixit.com.bd/wp-content/uploads/2020/02/20-057.jpg,Electrical,Switches and Outlets,Sockets
26-1751,Yellow & Transparent Color Plastic Ice Making Box Apple Shaped Ice Model JX-503-6,60,62,60,,https://fixit.com.bd/wp-content/uploads/2020/02/26-1751.jpg,Kitchen,Small Appliances,Ice Box
20-548,220V White Color Single Switch,57,57,,,https://fixit.com.bd/wp-content/uploads/2020/02/20-1568.jpg,Electrical,Switches and Outlets,Switches
05-1188,off-White Color Plastic Round Cabinet Net,65,69,65,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1188.jpg,Kitchen,Tableware and Bar,Table Decor and Accents
