SKU,Price,Product Description,Product Name,Image,Primary,Sub,Sub Sub,,
FIXIT-38041,508,With bend head,195mm Electrician's Knife Tolsen Brand 38041,https://fixit.com.bd/wp-content/uploads/2020/01/a612078424c2c52d629fc371406c9ce0157de1e6.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-35044,189,100mm 13blatt,SIZE.-0.05-1.00mm Feeler Gauges Tolsen Brand 35044,https://fixit.com.bd/wp-content/uploads/2020/01/49fe09aa1a3d18e29fe91f2b985082bd1221ad06.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,
FIXIT-32046,276,Flat Flat Warding Square Triangular,3x100mm 6Pcs Needle Files Set Tolsen Brand 32046,https://fixit.com.bd/wp-content/uploads/2020/01/f37090a566ddb28d6b983389a996ec7f2d972280.jpg,Tools and Hardware,Hand Tools,Files,,
FIXIT-20030,580,CrV,2X5- 2.5X50- 3.0X50; PH000x50- PH00x50- PH0x50 6Pcs Precision Screwdriver Set Tolsen Brand 20030,https://fixit.com.bd/wp-content/uploads/2020/01/6acf59437e49611533cfda5852e7c9f1a4227dce.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20029,464,CrV,3X75- 5X100-6X150; PH0x75- PH1x100- PH2x150 6Pcs Screwdrivers Set Tolsen Brand 20029,https://fixit.com.bd/wp-content/uploads/2020/01/3a6f7363b3f196bd00d4166283a8e20f42a4d14c.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20015,435,CrV,NA 4Pcs Screwdriver Set Tolsen Brand 20015,https://fixit.com.bd/wp-content/uploads/2020/01/a70d95bff01b25c8cf705681bbbb8caf1be97b7e.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20014,580,CrV,5.5X100- 6.5X150;PH1x100- PH2x150;PZ1x100- PZ2x150 6Pcs Screwdrivers Set Tolsen Brand 20014,https://fixit.com.bd/wp-content/uploads/2020/01/decb92a7f881546900c236f5e2bf558d524fe0e7.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-30008,232,Aluminium alloy body,BLADE 61X19 mm Utility Knife Tolsen Brand 30008,https://fixit.com.bd/wp-content/uploads/2020/01/6410787358642203c71d78ecc283e3d117a8fcf1.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30007,334,Aluminium handle,BLADE 61X19 mm Utility Knife Tolsen Brand 30007,https://fixit.com.bd/wp-content/uploads/2020/01/0a8716c20d1c3290bacb9de2126c88f1e4710830.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30005,36,Stainless case,BLADE 9X80 mm Snap-Off Blade Knife Tolsen Brand 30005,https://fixit.com.bd/wp-content/uploads/2020/01/2d0ee369176608a9b7f06bcc5f369f0c823d0c65.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30015,232,ABS case + TPR,BLADE 18x100mm Snap-Off Blade Knife Tolsen Brand 30015,https://fixit.com.bd/wp-content/uploads/2020/01/8dc983bc0a4e33ae1ce751aa2eb73ea83b64568d.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30004,26,ABS case,BLADE 9X80 mm Snap-Off Blade Knife Tolsen Brand 30004,https://fixit.com.bd/wp-content/uploads/2020/01/35aa8bef7a2707aa9ed7b75004a16ce84f431740.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30003,189,ABS case+ TPR,18x100mm Snap-Off Blade Knife Tolsen Brand 30003,https://fixit.com.bd/wp-content/uploads/2020/01/64e3941ad59fbc59d2bcc54fffb7d6405e8e0999.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30001,73,ABS case,18X100 mm Snap-Off Blade Knife Tolsen Brand 30001,https://fixit.com.bd/wp-content/uploads/2020/01/375831b4e594b3e27fd088808919cf2d206f4f50.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-35044,189,100mm 13blattChrome plated casePolishing finishedPacking: color box,SIZE.-0.05-1.00mm Feeler Gauges Tolsen Brand 35044,https://fixit.com.bd/wp-content/uploads/2020/01/49fe09aa1a3d18e29fe91f2b985082bd1221ad06.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,
FIXIT-32046,276,Flat Flat Warding Square TriangularRound Half roundAlloy steelTwo-component plastic handlePacking: blister card,3x100mm 6Pcs Needle Files Set Tolsen Brand 32046,https://fixit.com.bd/wp-content/uploads/2020/01/f37090a566ddb28d6b983389a996ec7f2d972280.jpg,Tools and Hardware,Hand Tools,Files,,
FIXIT-30008,232,Aluminium alloy bodyMaterial of blade:SK5Packing: double blister,BLADE 61X19 mm Utility Knife Tolsen Brand 30008,https://fixit.com.bd/wp-content/uploads/2020/01/6410787358642203c71d78ecc283e3d117a8fcf1.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-20029,464,CrVTransparent PVC handleMagnetic tipPacking: double blister ,3X75- 5X100-6X150; PH0x75- PH1x100- PH2x150 6Pcs Screwdrivers Set Tolsen Brand 20029,https://fixit.com.bd/wp-content/uploads/2020/01/3a6f7363b3f196bd00d4166283a8e20f42a4d14c.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20015,435,CrVTwo-component comfortable gripBlack finish magnetic tipPacking: double blister ,NA 4Pcs Screwdriver Set Tolsen Brand 20015,https://fixit.com.bd/wp-content/uploads/2020/01/a70d95bff01b25c8cf705681bbbb8caf1be97b7e.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20014,580,CrVTwo-component comfortable gripBlack finish magnetic tipPacking: double blister ,5.5X100- 6.5X150;PH1x100- PH2x150;PZ1x100- PZ2x150 6Pcs Screwdrivers Set Tolsen Brand 20014,https://fixit.com.bd/wp-content/uploads/2020/01/decb92a7f881546900c236f5e2bf558d524fe0e7.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
