Sku,Title,Price,Regular Price,Primary,Sub,Sub Sub,img
16-005,3/4 Inch 12pcs Packet Concrete Nail HMBR Brand,6,6,Tools and Hardware,Screws Nails and Anchors,Nails,https://fixit.com.bd/wp-content/uploads/2020/01/16-005A.jpg
16-762,1 Inch Stainless Steel Angle Bracket,22,22,Building Materials,Builders Hardware,Corner Braces,https://fixit.com.bd/wp-content/uploads/2020/01/16-761A.jpg
16-591,3/4 Inch 2Pcs Packet Top Plane Nut &amp; Bolt,14,14,Tools and Hardware,Screws Nails and Anchors,Nuts,https://fixit.com.bd/wp-content/uploads/2020/01/16-591A.jpg
03-123,12 Inch Hack Saw Blade Karigor Brand,6,6,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools,https://fixit.com.bd/wp-content/uploads/2020/01/03-123A.jpg
21-160,500 mg One Drop Instant Adhesive Fevikwik Brand,5,5,Paint,Duct Tape Glues and Epoxy,Glues and Epoxy,https://fixit.com.bd/wp-content/uploads/2020/01/21-160A.jpg
19-021,1.5 Inch Metal Pipe & Hose Clamp,14,14,Plumbing,Plumbing Accessories,Hoses and Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/19-021-web.jpg
19-277,10 m Thread Seal Tape PTFE Teflon HMBR Brand (Seals Gap between Pipe Threads),19,19,Plumbing,Plumbing Accessories,Pipe Putty and Sealants,https://fixit.com.bd/wp-content/uploads/2020/01/19-277-web.jpg
29-056,1 Inch x 132 ft. Fluorescent Yellow &amp; Black Industrial Vinyl Tape for Floor Markings Bicycle Safety Decoration &amp; More (1 feet 48 tk),48,48,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-056A.jpg
19-018,3/4 Inch Metal Hose Clamp (Fit Rubber Pipes with Garden Taps),9,9,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/19-020-web.jpg
29-078,0.36 Inch Clear Tape Scotch Type for Office Use,10,10,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-078A.jpg
20-1017,0.50 inch Cable Clip with Pre-Installed Nail,11,12,Electrical,Electrical Tools and Accessories,Cable Clips,https://fixit.com.bd/wp-content/uploads/2020/01/20-1017-web.jpg
19-011,20 m Thread Seal Tape PTFE Teflon HMBR Brand (Seals Gap between Pipe Threads),29,29,Plumbing,Plumbing Accessories,Pipe Putty and Sealants,https://fixit.com.bd/wp-content/uploads/2020/01/19-011A.jpg
16-619,1 Inch (12 Pcs Packet) Metal Star Screw MK Brand,14,14,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-539-web.png
24-003,100gm Korean Putty Sealant HMBR Brand for Pipe Tin Shed Leaks,14,15,Plumbing,Plumbing Accessories,Pipe Putty and Sealants,https://fixit.com.bd/wp-content/uploads/2020/01/24-003A-1.jpg
26-2994,Blue & White Color Mini Water Filter Best with Long Neck Kitchen Tap (General Fit),14,15,Kitchen,Water Dispensers and Filters,Water Filtration Systems,https://fixit.com.bd/wp-content/uploads/2020/01/26-2994.jpg
05-1284,Big Size Plastic Magnet Catch HMBR Brand 2 Inch x 1 Inch,19,19,Tools and Hardware,Cabinet and Furniture Hardware,Cabinet Latches,https://fixit.com.bd/wp-content/uploads/2020/01/05-1284.jpg
26-2323,1.5 Inch Plastic Water Filter Glitter Brand Best with Long Neck Kitchen Tap (General Fit),15,16,Kitchen,Water Dispensers and Filters,Water Filtration Systems,https://fixit.com.bd/wp-content/uploads/2020/01/26-2323A.jpg
20-559,6 Inch 100 Pcs Packet Off White Color Cable Tie,70,70,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-559A.jpg
16-919,6mm Metal Royal Bolt,17,18,Tools and Hardware,Screws Nails and Anchors,Anchors,https://fixit.com.bd/wp-content/uploads/2020/01/16-919A.jpg
27-082,Yellow Color Ear Protector Ear Buds,70,70,Tools and Hardware,Safety and Security,Hearing Protection,https://fixit.com.bd/wp-content/uploads/2020/01/27-082.jpg
16-555,6mx10m 4Pcs Packet Button LN Head Socket Cap Screw,19,20,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-555A.jpg
20-1018,0.75 Inch Cable Clip with Pre-Installed Nail,19,20,Electrical,Electrical Tools and Accessories,Cable Clips,https://fixit.com.bd/wp-content/uploads/2020/01/20-1018A.jpg
26-1423,12 Inch Single Non-Slip Grip Wooden Spoon,19,20,Kitchen,Cooking and Food Preparation,Ladles and Spoons,https://fixit.com.bd/wp-content/uploads/2020/01/26-1423A.jpg
26-2893,Single Pc Steel Wool for Dish & Plate washing POLYLite Brand,19,20,Kitchen,Small Appliances,Scrubbers and Sponges,https://fixit.com.bd/wp-content/uploads/2020/01/26-2893A.jpg
16-339,15mm (4 Pcs Packet) Iron Nut Bolt,21,22,Tools and Hardware,Screws Nails and Anchors,Nuts,https://fixit.com.bd/wp-content/uploads/2020/01/16-339A.jpg
16-402,12mm 4Pcs Packet Button Head Socket Cap Screw LN Screw,21,22,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-402A.jpg
16-948,2 Inch Stainless Steel 12 Pcs Packet Screw,29,29,Tools and Hardware,Screws Nails and Anchors,Screws,https://fixit.com.bd/wp-content/uploads/2020/01/16-948A.jpg
