Sku,Title,Price,Regular Price,images,Primary,Sub Categories,Sub Sub categories,,,
18-297,3 Pcs Mini Garden Tool Set Gardening Shovels + Claw + Rake With Wooden Handles Metal,185,200,https://fixit.com.bd/wp-content/uploads/2019/12/18-297.jpg,Lawn and Garden,Garden Tools,Gardening Tools,,,
11-143,9 Inch X 11 Inch 320 Grit Sandpaper Karigor Brand,24,24,https://fixit.com.bd/wp-content/uploads/2019/12/11-048-web-600x600.jpg,Paint,Paint Supplies,Sandpaper  Patching and Repairs,,,
01-664,7 mm Glue Stick Hmbr Brand,8,8,https://fixit.com.bd/wp-content/uploads/2019/12/7mm-Hot-Glue.jpg,Paint,Duct Tape  Glues and Epoxy,,,,
21-162,50gm General Purpose Epoxy Compound M-Seal Brand 90 Minutes Setting Perfect for Tank Leakage,47,47,https://fixit.com.bd/wp-content/uploads/2019/12/21-162A-600x600-1.jpg,Plumbing,Plumbing Accessories,Pipe Putty and Sealants,,,
24-016,500 ml Isopropyl alcohol (Rubbing Alcohol) (Topical Antiseptic),350,350,https://fixit.com.bd/wp-content/uploads/2019/12/DSC_0560.jpg,Cleaning,Household Cleaners,Antiseptic Cleaners,,,
26-011,25 gm Packet Silica Gel great for Keeping with Old Belongings  In Cloth Cabinet Always Fresh Moisture Absorber,25,25,https://fixit.com.bd/wp-content/uploads/2019/12/silica-gel2.jpg,Cleaning,Personal Care,Moisture Absorbers,,,
18-275,Rubber Red Handle Stainless Steel Pruning Shear,172,172,https://fixit.com.bd/wp-content/uploads/2019/12/18-307A.jpg,Lawn and Garden,Garden Tools,Pruning Tools,,,
26-675,Table Corner Safety for Baby,35,35,https://fixit.com.bd/wp-content/uploads/2019/12/DSC_0002.jpg,Kitchen,Tableware and Bar,Table Corner Safety,,,
26-1260,Floor Rubber Furniture Protection to Protect Household Floor and Avoid Floor Scratches Jx Brand,95,95,https://fixit.com.bd/wp-content/uploads/2019/12/26-1260-2.jpg,Cleaning,Household Cleaners,Furniture Protection,,,
16-764,0.5 Inch (12 Pcs Packet) Iron Star Cap Screw,10,11,https://fixit.com.bd/wp-content/uploads/2019/12/16-764A.jpg,Tools and Hardware,Screws  Nails and Anchors,,,,
21-228,Crystal Clear Color Epoxy Resin and Hardener Lapox Metalam Brand,2200,2200,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_5955.jpg,Paint,Duct Tape  Glues and Epoxy,Glues and Epoxy,,,
16-559,35 x 3 mm 4 Pcs Packet L Shaped Hook,13,13,https://fixit.com.bd/wp-content/uploads/2019/12/16-559A.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
30-423 1,400 ml 1200*F High Temperature Flat Black Color Spray Paint Bosny Brand,405,405,https://fixit.com.bd/wp-content/uploads/2019/12/71MTJLkB7iL._SL1500_.jpg,Paint,Spray Paint,General Purpose,,,
20-1217,20 Inch Size 500mm Off-White Color 1 Pcs Packet Cable Tie,10,10,https://fixit.com.bd/wp-content/uploads/2019/12/20-1217A.jpg,Electrical,Electrical Tools and Accessories,Cable Tie,,,
28-032,400 ml Rat Glue Bosny Brand,390,390,https://fixit.com.bd/wp-content/uploads/2019/12/28-082.jpg,Lawn and Garden,Insect and Pest Control,Indoor Insect and Pest Control,,,
16-447,8.5mm Plastic Royal Plug HMBR Brand,24,24,https://fixit.com.bd/wp-content/uploads/2019/12/16-447.jpg,Tools and Hardware,Screws  Nails and Anchors,Anchors,,,
26-2996,One Pair Natural Bamboo Chopsticks Jiayi Brand,124,130,https://fixit.com.bd/wp-content/uploads/2019/12/26-2996A.jpg,Kitchen,Small Appliances,Chop Sticks,,,
26-996,226gm Rust Remover Wd-40 Brand,410,410,https://fixit.com.bd/wp-content/uploads/2019/12/26-996-web-600x600.jpg,Cleaning,Household Cleaners,All Purpose Cleaners,,,
18-159,Green & Black Color Garden Sprinkler Short Burst Water Ejection,138,145,https://fixit.com.bd/wp-content/uploads/2019/12/18-1591.jpg,Lawn and Garden,Watering and Irrigation,Pulsating Sprinklers,,,
26-873,4 Pcs Packet White Color Steel Pin Hanger Picture Hook HMBR Brand (Nail to Wall),38,38,https://fixit.com.bd/wp-content/uploads/2019/12/26-873A.jpg,Tools and Hardware,Fasteners,Picture and Mirror Hanging,,,
30-423,400 ml 1200*F High Temperature Resistant Gloss Black Color Spray Paint Bosny Brand,405,405,https://fixit.com.bd/wp-content/uploads/2019/12/30-423.jpg,Paint,Spray Paint,General Purpose,,,
20-561,10 Inch 4X250mm 50 Pcs Packet Off-White Color Cable Tie,48,48,https://fixit.com.bd/wp-content/uploads/2019/12/20-561-web-600x600.jpg,Electrical,Electrical Tools and Accessories,Cable Tie,,,
18-291,4 Inch Solid Brass Water Nozzle,260,260,https://fixit.com.bd/wp-content/uploads/2019/12/1010650B-Brass-Nozzle-1.jpg,Lawn and Garden,Watering and Irrigation,Nozzles and Wands,,,
Fixit-0293,19mm 2 Way L-Shaped Pipe Socket HMBR Brand,20,20,https://fixit.com.bd/wp-content/uploads/2019/12/355-0293-Pipe-Socket-CS-980G.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,,,
05-017,Antique Brass Color Furniture Door Handle HMBR Brand 836,22,23,https://fixit.com.bd/wp-content/uploads/2019/12/05-017A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,,
30-489,400 ml Matt Black Color Spray Paint MRT Brand,180,180,https://fixit.com.bd/wp-content/uploads/2019/12/matt-black.jpg,Paint,Spray Paint,General Purpose,,,
16-937,40mm 4Pcs Packet Button Head Socket Cap Screw LN Screw,9,10,https://fixit.com.bd/wp-content/uploads/2019/12/16-937A.jpg,Tools and Hardware,Screws  Nails and Anchors,,,,
26-1309,Multi Flavor Natural Perfume Can-Type Automatic Air Freshener Refill Aroma Queen Brand (Ck-1  Orange  Gucci  Jasmine  Peach),320,320,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_0580.jpg,Cleaning,Air Care,Air Fresheners,,,
16-069,1.25 Inch (12 Pcs Packet) Metal Star Screw,13,13,https://fixit.com.bd/wp-content/uploads/2019/12/16-618-web-600x600.jpg,Tools and Hardware,Screws  Nails and Anchors,,,,
18-048,12 Inch Iron Lawn Rake (22 Teeth) HMBR Brand,143,143,https://fixit.com.bd/wp-content/uploads/2019/12/18-048A.jpg,Lawn and Garden,Garden Tools,Garden Forks,,,
