P_sku,Product Title,Cat,Sub Cat,Sub Sub Cat,Product Description,Images,Regular Price,Price
fixit-10000,160mm- 6 Inch Combination Pliers Tolsen Brand 10000,Tools and Hardware,Hand Tools,Pliers,• Forged steel nickel finish• Two-component plastic handle• Packing: blister card,https://fixit.com.bd/wp-content/uploads/2020/01/0bb96f906ed45f37625a2da5f9e2d3d9c3261f0b.jpg,264,238
fixit-10001,180mm- 7 Inch Combination Pliers Tolsen Brand 10001,Tools and Hardware,Hand Tools,Pliers,• Forged steel nickel finish• Two-component plastic handle• Packing: blister card,https://fixit.com.bd/wp-content/uploads/2020/01/0bb96f906ed45f37625a2da5f9e2d3d9c3261f0b.jpg,295,266
fixit-10002,200mm- 8 Inch Combination Pliers Tolsen Brand 10002,Tools and Hardware,Hand Tools,Pliers,• Forged steel nickel finish• Two-component plastic handle• Packing: blister card,https://fixit.com.bd/wp-content/uploads/2020/01/0bb96f906ed45f37625a2da5f9e2d3d9c3261f0b.jpg,341,307
fixit-10003,160mm- 6 Inch Diagonal Cutting Pliers Tolsen Brand 10003,Tools and Hardware,Hand Tools,Pliers,• Forged steel nickel finish• Two-component plastic handle• Packing: blister card ,https://fixit.com.bd/wp-content/uploads/2020/01/bf51306a517d6e8ce953af4b280876259123707c.jpg,264,238
fixit-10004,180mm- 7 Inch Diagonal Cutting Pliers Tolsen Brand 10004,Tools and Hardware,Hand Tools,Pliers,• Forged steel nickel finish• Two-component plastic handle• Packing: blister card ,https://fixit.com.bd/wp-content/uploads/2020/01/bf51306a517d6e8ce953af4b280876259123707c.jpg,341,307
fixit-10006,160mm- 6 Inch Long Nose Pliers Tolsen Brand 10006,Tools and Hardware,Hand Tools,Pliers,• Forged steel nickel finish• Bi-color plastic handle• Packed by PP card,https://fixit.com.bd/wp-content/uploads/2020/01/854fb7be09193e7c8344c609192a41e2c88a3fea.jpg,264,238
fixit-10007,200mm- 8 Inch Long Nose Pliers Tolsen Brand 10007,Tools and Hardware,Hand Tools,Pliers,• Forged steel nickel finish• Bi-color plastic handle• Packed by PP card,https://fixit.com.bd/wp-content/uploads/2020/01/854fb7be09193e7c8344c609192a41e2c88a3fea.jpg,341,307
fixit-10015,160mm- 6″ Combination Pliers Tolsen Brand 10015,Tools and Hardware,Hand Tools,Pliers,• CrV black finish• Two-component plastic handle• Packing: PP card,https://fixit.com.bd/wp-content/uploads/2020/01/03ef78a8d4cb0d7c8ceea5cd6bc46cf3d61d28d4.jpg,357,321
fixit-10017,200mm- 8″ Combination Pliers Tolsen Brand 10017,Tools and Hardware,Hand Tools,Pliers,• CrV black finish• Two-component plastic handle• Packing: PP card,https://fixit.com.bd/wp-content/uploads/2020/01/03ef78a8d4cb0d7c8ceea5cd6bc46cf3d61d28d4.jpg,496,446
fixit-10018,160mm- 6″ Diagonal Cutting Pliers Tolsen Brand 10018,Tools and Hardware,Hand Tools,Pliers,• CrV black finish• Two-component plastic handle• Packing: PP card,https://fixit.com.bd/wp-content/uploads/2020/01/a822f9f38358686d7e6e0861359ec2e956447066.jpg,357,321
fixit-10019,180mm- 7″ Diagonal Cutting Pliers Tolsen Brand 10019,Tools and Hardware,Hand Tools,Pliers,• CrV black finish• Two-component plastic handle• Packing: PP card,https://fixit.com.bd/wp-content/uploads/2020/01/a822f9f38358686d7e6e0861359ec2e956447066.jpg,496,446
fixit-10021,160mm- 6″ Long Nose Pliers Tolsen Brand 10021,Tools and Hardware,Hand Tools,Pliers,• CrV black finish• Two-component plastic handle• Packing: PP card,https://fixit.com.bd/wp-content/uploads/2020/01/c0a33e6462ca2181a14d9b01eb402400326636aa.jpg,357,321
fixit-10022,200mm- 8″ Long Nose Pliers Tolsen Brand 10022,Tools and Hardware,Hand Tools,Pliers,• CrV black finish• Two-component plastic handle• Packing: PP card,https://fixit.com.bd/wp-content/uploads/2020/01/c0a33e6462ca2181a14d9b01eb402400326636aa.jpg,496,446
fixit-10043,160mm- 6 Inch End Cutting Pincer Tolsen Brand 10043,Tools and Hardware,Hand Tools,Bolt Cutters,• Forged steelblack finish• Dipped handle• Packing: PP card,https://fixit.com.bd/wp-content/uploads/2020/01/78a79a0f7070f96edfab84b5bf6ea75a52497246.jpg,341,307
fixit-10059,300mm- 12 Inch Bolt Cutter Tolsen Brand 10059,Tools and Hardware,Hand Tools,Bolt Cutters,• CrV blade black finish• Packing: drawing box with color label,https://fixit.com.bd/wp-content/uploads/2020/01/,775,698
fixit-10060,350mm- 14 Inch Bolt Cutter Tolsen Brand 10060,Tools and Hardware,Hand Tools,Bolt Cutters,• CrV blade black finish• Packing: drawing box with color label,https://fixit.com.bd/wp-content/uploads/2020/01/,977,879
fixit-10061,450mm- 18 Inch Bolt Cutter Tolsen Brand 10061,Tools and Hardware,Hand Tools,Bolt Cutters,• CrV blade black finish• Packing: drawing box with color label,https://fixit.com.bd/wp-content/uploads/2020/01/,1240,1116
fixit-10062,600mm- 24 Inch Bolt Cutter Tolsen Brand 10062,Tools and Hardware,Hand Tools,Bolt Cutters,• CrV blade black finish• Packing: drawing box with color label,https://fixit.com.bd/wp-content/uploads/2020/01/,1628,1465
fixit-10063,750mm- 30 Inch Bolt Cutter Tolsen Brand 10063,Tools and Hardware,Hand Tools,Bolt Cutters,• CrV blade black finish• Packing: drawing box with color label,https://fixit.com.bd/wp-content/uploads/2020/01/,2170,1953
fixit-10064,900mm- 36 Inch Bolt Cutter Tolsen Brand 10064,Tools and Hardware,Hand Tools,Bolt Cutters,• CrV blade black finish• Packing: drawing box with color label,https://fixit.com.bd/wp-content/uploads/2020/01/,2868,2581
fixit-10067,200mm- 8 Inch Pipe Wrench Tolsen Brand 10067,Tools and Hardware,Hand Tools,Pipe Wrenches,• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box,https://fixit.com.bd/wp-content/uploads/2020/01/,434,391
fixit-10068,250mm- 10 Inch Pipe Wrench Tolsen Brand 10068,Tools and Hardware,Hand Tools,Pipe Wrenches,• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box,https://fixit.com.bd/wp-content/uploads/2020/01/,543,489
fixit-10069,300mm- 12 Inch Pipe Wrench Tolsen Brand 10069,Tools and Hardware,Hand Tools,Pipe Wrenches,• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box,https://fixit.com.bd/wp-content/uploads/2020/01/,698,628
fixit-10070,350mm- 14' Pipe Wrench Tolsen Brand 10070,Tools and Hardware,Hand Tools,Pipe Wrenches,• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box,https://fixit.com.bd/wp-content/uploads/2020/01/,775,698
