Sku,Title,,Regular,Sale,Cat,Sub Cat,Sub sub cat,Images
16-595,3/4 mm 2 Pcs Packet Ring Washer HMBR Brand,,10,10,Tools and Hardware,Screws Nails and Anchors,Washers,https://fixit.com.bd/wp-content/uploads/2020/01/16-595.jpg
16-008,1 Inch Size 12pcs Packet Concrete Nail HMBR Brand,,12,12,Tools and Hardware,Screws Nails and Anchors,Nails,https://fixit.com.bd/wp-content/uploads/2020/01/16-008.jpg
20-1015,Size-7 Cable Clip with Pre-Installed Nail,,6,6,Electrical,Electrical Tools and Accessories,Cable Clips,https://fixit.com.bd/wp-content/uploads/2020/01/20-1015A.jpg
20-1016,Size-8 Cable Clip with Pre-Installed Nail,,6,6,Electrical,Electrical Tools and Accessories,Cable Clips,https://fixit.com.bd/wp-content/uploads/2020/01/20-1016A.jpg
20-1201,2.5 Inch Size Off-White Color 50 Pcs Packet Cable Tie,,7,7,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-1201A.jpg
20-1202,3 Inch Size Off-White Color 50 Pcs Packet Cable Tie,,38,38,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-1202A.jpg
19-944,3 Inch Stainless Steel Basin Water Outlet Net Cover,,11,11,Plumbing,Plumbing Accessories,Basin Net Cover,https://fixit.com.bd/wp-content/uploads/2020/01/19-944.jpg
19-943,Stainless Steel Basin Water Outlet Net Cover,,14,14,Plumbing,Plumbing Accessories,Basin Net Cover,https://fixit.com.bd/wp-content/uploads/2020/01/19-943.jpg
16-766,3/4 Inch (12 Pcs Packet) Stainless Steel Star Cap Screw,,9,9,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-766.jpg
29-057,2 Inch Red & White Fluorescent Adhesive Tape (1 feet 48 tk),,48,48,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-057.jpg
16-338,6mm X 15mm 2 Pcs Packet Iron Nut and Bolt,,14,14,Tools and Hardware,Screws Nails and Anchors,Nuts,https://fixit.com.bd/wp-content/uploads/2020/01/16-338A.jpg
16-360,1/4mm 12pcs Packet Iron Nut,,10,10,Tools and Hardware,Screws Nails and Anchors,Nuts,https://fixit.com.bd/wp-content/uploads/2020/01/16-360A.jpg
