Sku,Title,Short Description,Price,image,Product categories,Sub ,sub sub,,
18-101,3/4 Inch Plastic Pipe Connector (Connect & Extend Pipes),,27,https://fixit.com.bd/wp-content/uploads/2020/01/18-101.jpg,Lawn and Garden,Watering and Irrigation,Spray Guns,,
19-1007,19mm L Shaped Metal Pipe Socket,,162,https://fixit.com.bd/wp-content/uploads/2020/01/19-1007A.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,,
38-225,2 Keys 160mm Stainless Steel Glass Lock HMBR Brand (Damage Product),,29,https://fixit.com.bd/wp-content/uploads/2020/01/38-225A.jpg,Tools and Hardware,Safety and Security,Glass Locks,,
01-1222,4 Inch Flat Head Screwdriver Feibao Brand,,29,https://fixit.com.bd/wp-content/uploads/2020/01/01-1222.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
16-925,10mm 2.75 Inch Metal Royal Bolt,,29,https://fixit.com.bd/wp-content/uploads/2020/01/16-925.jpg,Tools and Hardware,Screws Nails and Anchors,Anchors,,
27-103,Disposable Hand Gloves for Cleaning,,29,https://fixit.com.bd/wp-content/uploads/2020/01/27-103.jpg,Cleaning,Cleaning Tools and Supplies,Cleaning Gloves,,
19-1003,19mm (3-Way T Shaped) Metal Pipe Socket HMBR Brand,,218,https://fixit.com.bd/wp-content/uploads/2020/01/19-1003.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,,
29-041,1 Inch Fire Proof Electric Insulation Black Gum Tape,,30,https://fixit.com.bd/wp-content/uploads/2020/01/29-041.jpg,Storage and Organization,Office Supplies,Adhesives and Tape,,
18-102,3/4 Inch Black &amp; Orange Plastic Pipe Connector (Connect &amp; Extend Pipes),,48,https://fixit.com.bd/wp-content/uploads/2020/01/18-102A.jpg,Lawn and Garden,Watering and Irrigation,Spray Guns,,
16-352,25mm (5 Pcs Packet) Iron LN Key Cap Screw,,31,https://fixit.com.bd/wp-content/uploads/2020/01/16-352.jpg,Tools and Hardware,Screws Nails and Anchors,,,
26-712,Wooden Baloon for Rolling Paratha and Roti Dough,,32,https://fixit.com.bd/wp-content/uploads/2020/01/26-712.jpg,Kitchen,Small Appliances,Kitchen Accessories,,
26-3974,Stainless Steel Cuticle Nippers Kinepin,"Kinepin brand's cuticle nipper is made from stainless steel and it's metal jaw with sharp edges can easily grasp and cut away excessive skin around the cuticle. 


This cuticle nippers are surgical-quality with stainless steel tip. Its sharp blades can cut even the tiniest cuticle every time without pulling or tugging.
Made from premium brushed stainless steel to retain sharpness for a very long period of time. You'll get the precision cut every time you use it!
It is easy to clean and store.",35,https://fixit.com.bd/wp-content/uploads/2020/01/26-3974A.jpg,Cleaning,Personal Care,Nail Care,,
19-1008,25mm L Shaped Metal Pipe Socket,,808,https://fixit.com.bd/wp-content/uploads/2020/01/19-1008.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,,
16-820,2 Inch X 0.50 Inch Stainless Steel Angle Bracket,"Fixit.com.bd's angle bracket  is an L-shaped fastener mainly used to join two flat surfaces firmly at a 90 degree angle.

Premium grade stainless steel make our angle brackets durable rust and corrosion free.
Specially designed with exactly 90 degrees.
Widely used in home and factory areas mainly to join a wooden shelf to a wall or to join two furniture parts together.
You can easily install it with screws and washers.

Angle Brackets are also called corner braces corner bracket braces shelf brackets or L brackets.",38,https://fixit.com.bd/wp-content/uploads/2020/01/16-820.jpg,Building Materials,Builders Hardware,Corner Braces,,
18-158,Â¾ Inch Grey and Orange Plastic Hose Connector Convert Pipe/Hose Size,,38,https://fixit.com.bd/wp-content/uploads/2020/01/18-158A.jpg,Plumbing,Pipes and Fittings,PVC Pipe and Fittings,,
